Id,Forno,Dt,VPlaca,VAlvo,VLiquida,VTotal,RLen,RRap,Incremento,Perda_Catodica,Perda_Anodica,EA,VMedEA,VMaxEA,Fluoreto,Fluorita,Banho,Metal,Temperatura,Ferro,Silicio,Producao,Ligada,Vida,Corrente,Desfilamento,Flanco,Vazio,Lombo,Plasticidade,DurEA,Tam_Anodo,MovCima,MovBaixo,FalhaMov,PrevEA,QP,NQueb,EA_24,EA_72,EA_96,AdFluoreto,IntervCorr,IntervRefCorr,IntervRefQueb,CargaFluoreto,CargaFluorita,TotalFluoreto,NumDBDia,NumDBConsec,NumDBQueb,DifAlFalhaMov,DifAlBandaMorta,DifAlInibPrev,DifAlInibQueb,DifAlIntervMov,DifAlManual,DifAlInibUsu,DifAlDesvio,DeltaRCorr,Al2O3,Tipo_Oper,Num_Pontas_Atras,Manobra_Anodo,Anodo_Medido,Consumo_Anodo,Lev_Tot_Pontista,Lev_Tot_Tecnico,Lev_Fora_Pontista,Lev_Fora_Tecnico,EA_30,Eficiencia,Sala_Forno
1526_120121,1526,2021-01-12,"4,17","4,22","4,27","4,27","1,9","4,2",49,NULL,NULL,1,"17,11","29,43",NULL,NULL,NULL,NULL,NULL,"0,1574","0,031",955,1,0,"130,72",NULL,NULL,NULL,NULL,NULL,80,NULL,5,39,0,5,2,8,0,0,0,NULL,102020,114364,13752,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3620,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,70016064871481",Sala Forno 6
1526_120221,1526,2021-02-12,"4,21","4,22","4,26","4,31","2,7","5,5",13,NULL,NULL,1,"24,58","37,6","9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"130,17",NULL,NULL,NULL,NULL,NULL,265,NULL,6,28,0,6,3,7,0,1,1,33,89083,90304,13084,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,"0,458",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_130121,1526,2021-01-13,"4,17","4,31","4,32","4,32","1,9","4,4",140,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"130,4",NULL,NULL,NULL,NULL,NULL,0,NULL,11,19,0,1,1,6,0,0,0,NULL,60328,88292,14196,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4991,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,92273773006136",Sala Forno 6
1526_130221,1526,2021-02-13,"4,21","4,22","4,25","4,26","2,8","5,8",14,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,127,NULL,NULL,NULL,NULL,NULL,0,NULL,4,25,0,0,0,6,0,0,0,33,87263,91167,14862,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_140121,1526,2021-01-14,"4,17","4,19","4,21","4,21","2,6","4,4",17,NULL,NULL,0,0,0,NULL,NULL,17,41,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,3,28,0,1,1,6,0,0,0,NULL,90938,92830,14712,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4392,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_140221,1526,2021-02-14,"4,21","4,2","4,22","4,21","2,3","5,8",-12,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"130,14",NULL,NULL,NULL,NULL,NULL,0,NULL,15,31,0,3,2,6,0,0,0,33,88692,93459,14958,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_150121,1526,2021-01-15,"4,17","4,17","4,18","4,18","2,2","4,6",0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"131,37",NULL,NULL,NULL,NULL,NULL,0,NULL,10,23,0,1,0,6,0,0,0,NULL,89985,96415,14884,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3803,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,25138920605923",Sala Forno 6
1526_150221,1526,2021-02-15,"4,21","4,17","4,2","4,2","2,6","5,6",-35,NULL,NULL,1,"19,18","33,43","9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"130,61",NULL,NULL,NULL,NULL,NULL,101,NULL,9,30,2,5,1,7,0,0,0,33,84311,91370,15983,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_160121,1526,2021-01-16,"4,17","4,19","4,21","4,25","2,2","4,6",15,NULL,NULL,1,"18,79","33,3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"130,24",NULL,NULL,NULL,NULL,NULL,199,NULL,12,30,2,4,2,6,0,1,0,NULL,100794,110809,14030,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,"0,21",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"91,03443642506143",Sala Forno 6
1526_160221,1526,2021-02-16,"4,21","4,2","4,24","4,24","2,4","5,7",-9,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"128,01",NULL,NULL,NULL,NULL,NULL,0,NULL,12,29,0,6,3,7,0,0,0,33,81060,86030,14924,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
